loan_id,customer_id,account_id,loan_type,principal_amount,outstanding_balance,interest_rate_pct,tenure_months,emi_amount,disbursement_date,maturity_date,loan_status,installments_paid,installments_remaining,days_past_due,collateral_type,collateral_value,loan_purpose,credit_score_at_origination,annual_income_at_origination,debt_to_income_ratio,is_npa,bank_name,loan_officer_id
LOAN0001337,CUST009614,ACC0004941,HOME,429600.24,257694.62,13.79,48,11694.26,2024-10-02,2028-09-11,ACTIVE,21,27,0,PROPERTY,958809.88,Home financing,612,86782.34,0.131,False,Chase,LO966
LOAN0001338,CUST003494,ACC0007571,BUSINESS,463162.97,68613.89,14.46,120,7320.02,2024-12-21,2034-10-30,ACTIVE,77,43,1,PROPERTY,,Business financing,686,140681.63,0.507,False,Axis Bank,LO563
LOAN0001339,CUST003920,ACC0002826,HOME,685358.11,619035.13,11.3,84,11843.39,2021-11-28,2028-10-22,ACTIVE,8,76,0,NONE,,Home financing,670,82222.24,0.104,False,Chase,LO361
LOAN0001340,CUST007544,ACC0009287,AUTO,27245.8,15868.26,12.35,120,396.43,2024-04-16,2034-02-23,CLOSED,41,79,0,FD,52964.12,Auto financing,572,50567.69,0.178,False,Bank of America,LO263
LOAN0001341,CUST002551,ACC0005644,MORTGAGE,573124.94,373798.23,16.67,36,20339.46,2018-05-13,2021-04-27,DEFAULTED,14,22,136,FD,,Mortgage financing,649,111851.13,0.381,True,Axis Bank,LO791
LOAN0001342,CUST003069,ACC0000232,BUSINESS,138794.23,24233.63,14.19,48,3806.0,2024-10-05,2028-09-14,ACTIVE,43,5,0,NONE,,Business financing,707,109123.85,0.581,False,Citibank,LO866
LOAN0001343,CUST006408,ACC0000607,PERSONAL,24971.94,19247.35,6.33,180,215.21,2017-04-23,2032-02-04,DEFAULTED,38,142,93,NONE,,Personal financing,698,34749.04,0.559,True,Citibank,LO281
LOAN0001344,CUST000266,ACC0005975,BUSINESS,198823.47,68280.75,7.22,120,2331.12,2019-05-10,2029-03-18,REJECTED,80,40,0,GUARANTOR,470779.5,Business financing,641,62738.39,0.482,False,Axis Bank,LO699
LOAN0001345,CUST005975,ACC0009831,EDUCATION,60569.08,18401.54,14.79,60,1434.27,2018-11-20,2023-10-25,CLOSED,42,18,8,GUARANTOR,69075.43,Education financing,785,82682.59,0.176,False,Citibank,LO743
LOAN0001346,CUST002082,ACC0004047,MORTGAGE,503293.81,310291.38,17.21,12,45952.96,2016-11-30,2017-11-25,REJECTED,6,6,0,GUARANTOR,,Mortgage financing,679,103526.66,0.217,False,ICICI Bank,LO450
LOAN0001347,CUST006539,ACC0008195,PERSONAL,31457.28,17463.3,4.97,120,333.19,2022-10-30,2032-09-07,APPROVED,60,60,0,NONE,65787.2,Personal financing,563,82044.76,0.465,False,Wells Fargo,LO945
LOAN0001348,CUST006716,ACC0008035,HOME,240559.77,102288.09,6.42,360,1507.87,2017-02-19,2046-09-15,REJECTED,131,229,12,NONE,,Home financing,719,86054.49,0.581,False,HDFC Bank,LO699
LOAN0001349,CUST002375,ACC0007154,AUTO,22871.42,11733.38,11.82,36,757.69,2021-12-22,2024-12-06,DEFAULTED,21,15,174,GUARANTOR,45793.33,Auto financing,635,68896.6,0.345,True,Wells Fargo,LO935
LOAN0001350,CUST008598,ACC0006941,MORTGAGE,511323.15,478751.58,16.57,12,46530.82,2018-09-17,2019-09-12,DEFAULTED,1,11,58,GUARANTOR,1180307.06,Mortgage financing,794,33907.67,0.507,False,Axis Bank,LO274
LOAN0001351,CUST005458,ACC0004955,PERSONAL,41174.06,39889.64,10.64,180,458.72,2023-02-09,2037-11-22,ACTIVE,4,176,0,VEHICLE,45853.29,Personal financing,755,58534.82,0.121,False,Wells Fargo,LO496
LOAN0001352,CUST007605,ACC0006556,HOME,396427.17,92542.55,17.11,12,36176.74,2017-11-21,2018-11-16,ACTIVE,12,0,0,GUARANTOR,,Home financing,695,36745.22,0.58,False,Citibank,LO896
LOAN0001353,CUST000807,ACC0009770,BUSINESS,439114.78,0.0,15.13,240,5824.44,2018-02-02,2037-10-20,ACTIVE,120,120,0,GUARANTOR,727767.73,Business financing,575,108009.17,0.31,False,ICICI Bank,LO179
LOAN0001354,CUST008127,ACC0009981,PERSONAL,49774.15,36813.96,10.76,24,2314.32,2018-10-04,2020-09-23,APPROVED,8,16,0,GUARANTOR,123329.86,Personal financing,813,59169.87,0.216,False,Citibank,LO229
LOAN0001355,CUST009448,ACC0008017,PERSONAL,19177.03,2086.56,14.77,180,265.38,2021-01-31,2035-11-14,ACTIVE,92,88,0,FD,44677.52,Personal financing,833,73075.22,0.118,False,Wells Fargo,LO662
LOAN0001356,CUST003789,ACC0006649,PERSONAL,46023.27,31305.63,6.63,120,525.63,2025-06-02,2035-04-11,UNDER_REVIEW,40,80,23,GUARANTOR,,Personal financing,813,72213.98,0.165,False,Axis Bank,LO229
LOAN0001357,CUST007765,ACC0007204,PERSONAL,35099.4,19676.99,9.84,84,579.79,2019-11-01,2026-09-25,REJECTED,38,46,0,VEHICLE,,Personal financing,799,70047.94,0.476,False,ICICI Bank,LO749
LOAN0001358,CUST006044,ACC0007446,HOME,539799.21,481114.97,16.83,360,7621.33,2017-10-13,2047-05-09,ACTIVE,11,349,0,PROPERTY,,Home financing,677,103645.97,0.5,False,Bank of America,LO507
LOAN0001359,CUST001149,ACC0000755,HOME,597009.01,466029.81,9.28,60,12474.21,2019-12-19,2024-11-22,UNDER_REVIEW,15,45,0,PROPERTY,998537.74,Home financing,729,38490.71,0.298,False,Citibank,LO636
LOAN0001360,CUST005361,ACC0006684,BUSINESS,164199.51,154005.54,11.66,12,14562.82,2022-11-19,2023-11-14,ACTIVE,1,11,0,VEHICLE,,Business financing,557,74355.62,0.106,False,Axis Bank,LO268
LOAN0001361,CUST009143,ACC0006616,EDUCATION,64333.47,28570.92,5.1,84,912.31,2018-08-30,2025-07-24,DEFAULTED,56,28,137,VEHICLE,,Education financing,715,26110.89,0.126,True,HDFC Bank,LO909
LOAN0001362,CUST003017,ACC0000204,HOME,321119.58,313360.36,14.7,36,11084.6,2021-05-25,2024-05-09,DEFAULTED,1,35,38,GUARANTOR,,Home financing,743,115946.05,0.439,False,ICICI Bank,LO795
LOAN0001363,CUST005360,ACC0003228,HOME,487031.0,119028.46,9.0,60,10109.96,2020-03-13,2025-02-15,UNDER_REVIEW,52,8,0,NONE,,Home financing,687,17114.02,0.268,False,Bank of America,LO478
LOAN0001364,CUST009782,ACC0004655,AUTO,29933.07,2334.03,17.8,48,876.16,2025-03-25,2029-03-04,APPROVED,45,3,0,FD,51638.49,Auto financing,675,39442.39,0.434,False,Chase,LO146
LOAN0001365,CUST006576,ACC0001467,BUSINESS,61021.92,28822.76,14.19,84,1149.97,2024-02-09,2031-01-03,ACTIVE,40,44,0,FD,61607.56,Business financing,711,49904.73,0.472,False,Chase,LO144
LOAN0001366,CUST009232,ACC0003191,MORTGAGE,475908.97,298330.24,15.79,84,9395.7,2021-10-12,2028-09-05,DEFAULTED,27,57,40,VEHICLE,998757.14,Mortgage financing,805,74061.81,0.554,False,Bank of America,LO850
LOAN0001367,CUST005949,ACC0000098,AUTO,48349.05,16462.02,8.15,36,1518.43,2018-02-16,2021-01-31,APPROVED,30,6,0,NONE,,Auto financing,634,131914.96,0.444,False,Bank of America,LO782
LOAN0001368,CUST004159,ACC0000425,MORTGAGE,388026.02,230951.82,14.42,48,10685.32,2020-11-07,2024-10-17,DEFAULTED,21,27,153,NONE,,Mortgage financing,850,137317.97,0.357,True,ICICI Bank,LO772
LOAN0001369,CUST004945,ACC0006541,EDUCATION,62531.81,0.0,13.77,180,823.12,2020-11-13,2035-08-27,APPROVED,133,47,17,PROPERTY,150867.61,Education financing,647,77086.65,0.2,False,Bank of America,LO797
LOAN0001370,CUST002744,ACC0004000,BUSINESS,205822.87,142553.65,9.81,12,18076.92,2017-04-12,2018-04-07,DEFAULTED,5,7,139,NONE,,Business financing,721,60347.17,0.37,True,Wells Fargo,LO470
LOAN0001371,CUST009231,ACC0006810,HOME,653896.98,543184.42,7.05,84,9885.05,2016-11-26,2023-10-21,APPROVED,16,68,0,NONE,850296.51,Home financing,588,88890.01,0.202,False,Wells Fargo,LO415
LOAN0001372,CUST002960,ACC0009872,AUTO,52159.65,24614.74,16.92,84,1063.51,2025-01-22,2031-12-17,ACTIVE,37,47,0,NONE,,Auto financing,692,74355.59,0.392,False,Axis Bank,LO464
LOAN0001373,CUST000419,ACC0004640,EDUCATION,40112.79,18095.99,8.29,12,3494.73,2021-05-12,2022-05-07,UNDER_REVIEW,9,3,0,FD,66975.92,Education financing,696,94749.54,0.395,False,Axis Bank,LO992
LOAN0001374,CUST007252,ACC0000138,HOME,403850.01,167542.22,10.88,84,6889.44,2020-09-29,2027-08-24,ACTIVE,49,35,0,FD,,Home financing,565,38939.83,0.32,False,Axis Bank,LO409
LOAN0001375,CUST001095,ACC0009062,PERSONAL,37006.28,0.0,13.44,240,445.21,2023-05-28,2043-02-12,APPROVED,144,96,0,NONE,,Personal financing,663,106616.56,0.345,False,Wells Fargo,LO576
LOAN0001376,CUST006427,ACC0000150,PERSONAL,33221.6,19237.39,5.65,12,2853.92,2022-05-31,2023-05-26,APPROVED,7,5,0,PROPERTY,35245.99,Personal financing,680,131745.86,0.245,False,ICICI Bank,LO827
LOAN0001377,CUST006419,ACC0004901,EDUCATION,34219.37,19622.13,7.29,84,521.33,2019-10-20,2026-09-13,REJECTED,40,44,0,PROPERTY,,Education financing,676,91945.13,0.321,False,Chase,LO707
LOAN0001378,CUST007535,ACC0004486,BUSINESS,55721.66,28710.2,5.12,48,1286.26,2020-03-26,2024-03-05,UNDER_REVIEW,30,18,0,FD,99742.96,Business financing,695,16636.6,0.174,False,Bank of America,LO657
LOAN0001379,CUST001609,ACC0004595,PERSONAL,6200.43,3517.13,15.04,84,119.79,2018-02-04,2024-12-29,UNDER_REVIEW,32,52,0,GUARANTOR,10020.64,Personal financing,671,59794.66,0.268,False,Axis Bank,LO599
LOAN0001380,CUST002130,ACC0000862,HOME,759811.74,659606.9,9.36,60,15905.53,2021-08-16,2026-07-21,CLOSED,9,51,0,NONE,1541695.09,Home financing,617,99804.25,0.217,False,Citibank,LO866
LOAN0001381,CUST002906,ACC0008603,MORTGAGE,642796.76,489988.83,10.34,180,7041.84,2019-12-24,2034-10-06,CLOSED,31,149,0,FD,748901.72,Mortgage financing,525,62254.91,0.402,False,Citibank,LO794
LOAN0001382,CUST002773,ACC0003873,MORTGAGE,814356.15,463410.66,8.51,60,16711.69,2024-04-17,2029-03-22,CLOSED,30,30,0,NONE,,Mortgage financing,690,49155.23,0.544,False,Axis Bank,LO393
LOAN0001383,CUST008348,ACC0004170,BUSINESS,192300.15,141541.79,17.53,60,4834.13,2019-01-18,2023-12-23,APPROVED,15,45,0,FD,264561.56,Business financing,609,116199.89,0.148,False,Wells Fargo,LO996
LOAN0001384,CUST005451,ACC0000968,PERSONAL,12142.44,9150.92,11.51,60,267.1,2019-04-09,2024-03-13,REJECTED,16,44,0,FD,,Personal financing,565,35535.72,0.412,False,ICICI Bank,LO600
LOAN0001385,CUST003398,ACC0003813,AUTO,57930.7,39172.07,11.02,84,992.52,2021-04-13,2028-03-07,ACTIVE,27,57,0,NONE,86312.7,Auto financing,806,88973.51,0.461,False,Axis Bank,LO366
LOAN0001386,CUST005956,ACC0000959,AUTO,48672.87,0.0,7.23,240,384.11,2021-10-24,2041-07-11,DEFAULTED,212,28,32,GUARANTOR,109943.67,Auto financing,689,61459.89,0.417,False,Axis Bank,LO463
LOAN0001387,CUST006270,ACC0005367,BUSINESS,338065.95,277075.65,11.95,120,4840.5,2020-02-27,2030-01-05,APPROVED,18,102,0,NONE,,Business financing,727,28372.61,0.252,False,Bank of America,LO113
LOAN0001388,CUST003946,ACC0009905,PERSONAL,5285.01,2645.25,12.19,48,139.67,2024-09-16,2028-08-26,DEFAULTED,27,21,101,GUARANTOR,8421.14,Personal financing,705,90411.6,0.588,True,Chase,LO904
LOAN0001389,CUST001979,ACC0005676,HOME,248701.99,56445.33,10.75,120,3390.77,2017-08-01,2027-06-10,APPROVED,81,39,0,FD,540992.77,Home financing,735,53340.53,0.275,False,Axis Bank,LO754
LOAN0001390,CUST009698,ACC0008873,AUTO,15640.47,4352.05,8.29,48,383.96,2023-05-23,2027-05-02,REJECTED,42,6,0,PROPERTY,,Auto financing,727,91272.97,0.222,False,Citibank,LO347
LOAN0001391,CUST003130,ACC0002862,HOME,408595.19,373889.16,7.89,60,8263.34,2023-02-05,2028-01-10,REJECTED,6,54,0,FD,691106.71,Home financing,711,16340.97,0.145,False,Axis Bank,LO878
LOAN0001392,CUST003882,ACC0007515,BUSINESS,426077.27,6675.57,17.42,84,8810.96,2017-02-04,2023-12-30,CLOSED,68,16,0,NONE,545823.22,Business financing,833,103297.07,0.456,False,Axis Bank,LO600
LOAN0001393,CUST001632,ACC0006632,EDUCATION,49841.5,26853.05,7.3,120,586.44,2019-11-27,2029-10-05,CLOSED,56,64,0,VEHICLE,,Education financing,697,34368.37,0.312,False,Wells Fargo,LO825
LOAN0001394,CUST000184,ACC0002128,BUSINESS,479733.16,0.0,12.13,240,5325.82,2023-06-08,2043-02-23,DEFAULTED,153,87,83,NONE,,Business financing,802,58726.58,0.273,False,Citibank,LO527
LOAN0001395,CUST001562,ACC0001021,AUTO,31710.8,30100.23,15.75,60,766.94,2025-08-20,2030-07-25,UNDER_REVIEW,3,57,0,NONE,79201.88,Auto financing,606,98902.56,0.436,False,Citibank,LO136
LOAN0001396,CUST004455,ACC0006022,BUSINESS,165019.45,115137.84,7.67,84,2544.98,2018-12-01,2025-10-25,CLOSED,28,56,0,NONE,,Business financing,693,15577.0,0.264,False,Citibank,LO989
LOAN0001397,CUST001356,ACC0003428,PERSONAL,9347.41,1069.55,13.22,120,140.78,2022-07-07,2032-05-15,ACTIVE,84,36,28,PROPERTY,14907.24,Personal financing,756,77458.8,0.184,False,Axis Bank,LO411
LOAN0001398,CUST001891,ACC0004549,AUTO,41503.47,19951.48,14.19,240,521.84,2025-01-10,2044-09-27,REJECTED,59,181,0,NONE,44795.93,Auto financing,738,47485.8,0.398,False,Bank of America,LO301
LOAN0001399,CUST009631,ACC0004561,MORTGAGE,710483.44,491895.76,15.84,360,9462.67,2025-01-12,2054-08-08,ACTIVE,33,327,0,VEHICLE,,Mortgage financing,582,102791.88,0.448,False,Citibank,LO336
LOAN0001400,CUST009976,ACC0004822,PERSONAL,20086.51,0.0,17.53,360,295.02,2018-05-28,2047-12-22,CLOSED,304,56,0,NONE,48362.91,Personal financing,613,26911.49,0.103,False,Citibank,LO174
LOAN0001401,CUST008036,ACC0002263,MORTGAGE,380368.86,146782.81,4.55,60,7099.88,2024-06-26,2029-05-31,DEFAULTED,47,13,2,FD,,Mortgage financing,623,36273.73,0.381,False,ICICI Bank,LO994
LOAN0001402,CUST008451,ACC0005448,BUSINESS,416438.2,272712.44,7.87,180,3948.51,2021-01-22,2035-11-05,CLOSED,52,128,0,GUARANTOR,,Business financing,607,106028.61,0.229,False,Chase,LO512
LOAN0001403,CUST003490,ACC0006236,MORTGAGE,331118.83,127359.04,12.62,48,8820.77,2019-09-19,2023-08-29,REJECTED,33,15,0,FD,,Mortgage financing,627,125929.16,0.545,False,Citibank,LO732
LOAN0001404,CUST005946,ACC0008742,BUSINESS,314002.02,0.0,17.64,180,4975.64,2022-03-16,2036-12-27,ACTIVE,136,44,0,VEHICLE,667811.92,Business financing,698,155115.72,0.499,False,Wells Fargo,LO628
LOAN0001405,CUST007102,ACC0010000,HOME,170476.07,124703.07,6.3,84,2515.0,2017-01-09,2023-12-04,ACTIVE,26,58,0,PROPERTY,337600.82,Home financing,704,51598.91,0.106,False,Bank of America,LO964
LOAN0001406,CUST005955,ACC0008872,HOME,575526.75,452079.83,13.73,36,19594.75,2020-10-08,2023-09-23,APPROVED,9,27,0,NONE,,Home financing,758,47763.17,0.377,False,Axis Bank,LO273
LOAN0001407,CUST002352,ACC0005365,AUTO,40442.19,32670.89,17.63,12,3700.62,2017-08-15,2018-08-10,CLOSED,3,9,0,FD,,Auto financing,522,82907.05,0.574,False,ICICI Bank,LO576
LOAN0001408,CUST008101,ACC0002978,MORTGAGE,861887.49,438824.33,15.74,60,20840.55,2025-02-18,2030-01-23,ACTIVE,29,31,4,NONE,1561039.04,Mortgage financing,722,135879.04,0.301,False,Bank of America,LO896
LOAN0001409,CUST004902,ACC0005665,AUTO,25735.69,20890.82,7.11,24,1153.54,2024-06-09,2026-05-30,REJECTED,6,18,0,GUARANTOR,,Auto financing,800,104626.1,0.172,False,Chase,LO348
LOAN0001410,CUST005239,ACC0000165,BUSINESS,260697.22,244577.98,10.89,12,23027.48,2020-01-23,2021-01-17,ACTIVE,1,11,0,GUARANTOR,,Business financing,784,129173.48,0.243,False,Bank of America,LO853
LOAN0001411,CUST005728,ACC0002112,AUTO,15511.1,7212.8,18.48,36,564.51,2024-11-09,2027-10-25,APPROVED,21,15,0,NONE,,Auto financing,608,63987.94,0.359,False,Citibank,LO260
LOAN0001412,CUST000053,ACC0005239,HOME,363448.55,358592.06,9.84,240,3468.92,2017-10-07,2037-06-24,APPROVED,2,238,0,GUARANTOR,,Home financing,711,60817.59,0.429,False,Citibank,LO427
LOAN0001413,CUST003130,ACC0006942,AUTO,57910.39,29918.86,9.76,24,2665.86,2019-08-08,2021-07-28,DEFAULTED,15,9,162,VEHICLE,143219.18,Auto financing,680,17551.58,0.318,True,Axis Bank,LO259
LOAN0001414,CUST007350,ACC0002363,AUTO,10356.19,0.0,16.83,84,210.62,2017-02-10,2024-01-05,REJECTED,75,9,0,NONE,15030.4,Auto financing,708,13597.93,0.437,False,Bank of America,LO383
LOAN0001415,CUST006452,ACC0009521,EDUCATION,54969.98,41388.89,10.69,12,4850.39,2020-09-25,2021-09-20,CLOSED,4,8,0,NONE,85561.02,Education financing,610,90407.58,0.577,False,Citibank,LO168
LOAN0001416,CUST003271,ACC0004644,MORTGAGE,966410.21,662720.94,6.31,48,22833.78,2021-01-16,2024-12-26,APPROVED,19,29,0,PROPERTY,1071707.29,Mortgage financing,698,102810.63,0.434,False,Chase,LO201
LOAN0001417,CUST001813,ACC0001945,HOME,412894.51,157336.12,13.65,36,14041.67,2024-06-08,2027-05-24,APPROVED,26,10,0,VEHICLE,582873.57,Home financing,747,64010.12,0.555,False,Axis Bank,LO910
LOAN0001418,CUST009672,ACC0003434,BUSINESS,257214.89,0.0,11.87,120,3670.98,2020-12-07,2030-10-16,CLOSED,104,16,18,GUARANTOR,573214.31,Business financing,654,104200.71,0.441,False,Bank of America,LO959
LOAN0001419,CUST000043,ACC0001693,BUSINESS,472062.24,412545.69,14.57,12,42511.82,2022-03-28,2023-03-23,DEFAULTED,2,10,129,VEHICLE,,Business financing,719,118935.04,0.137,True,Citibank,LO543
LOAN0001420,CUST001898,ACC0009826,AUTO,46918.03,0.0,14.63,240,605.02,2018-08-01,2038-04-18,DEFAULTED,196,44,32,GUARANTOR,88735.02,Auto financing,622,51798.12,0.597,False,ICICI Bank,LO141
LOAN0001421,CUST003099,ACC0009235,AUTO,46870.22,32940.21,5.79,36,1421.43,2019-03-08,2022-02-20,ACTIVE,14,22,0,VEHICLE,,Auto financing,850,94305.54,0.498,False,ICICI Bank,LO589
LOAN0001422,CUST009027,ACC0000188,PERSONAL,36704.32,15244.97,12.22,84,652.26,2023-08-17,2030-07-11,REJECTED,47,37,0,GUARANTOR,78437.28,Personal financing,638,65918.0,0.245,False,Citibank,LO383
LOAN0001423,CUST004215,ACC0007915,MORTGAGE,281023.41,115618.59,11.42,120,3938.21,2022-12-10,2032-10-18,ACTIVE,60,60,0,NONE,,Mortgage financing,699,60756.5,0.529,False,Bank of America,LO109
LOAN0001424,CUST008089,ACC0003090,AUTO,11981.72,11358.0,9.8,180,127.29,2018-09-10,2033-06-23,CLOSED,7,173,0,NONE,,Auto financing,723,84409.38,0.36,False,Wells Fargo,LO632
LOAN0001425,CUST004776,ACC0007770,EDUCATION,47075.16,34855.26,13.64,84,872.85,2020-05-13,2027-04-07,CLOSED,20,64,0,FD,58656.06,Education financing,567,155507.78,0.205,False,ICICI Bank,LO289
LOAN0001426,CUST004888,ACC0002711,HOME,205810.0,6288.5,17.59,120,3654.24,2021-07-30,2031-06-08,UNDER_REVIEW,78,42,0,GUARANTOR,303138.33,Home financing,595,54944.64,0.137,False,Bank of America,LO649
LOAN0001427,CUST008231,ACC0003402,AUTO,13303.67,11443.07,18.05,24,664.5,2025-08-05,2027-07-26,DEFAULTED,4,20,83,GUARANTOR,23824.04,Auto financing,653,41533.8,0.218,False,Axis Bank,LO630
LOAN0001428,CUST002018,ACC0007898,PERSONAL,25817.08,20366.74,9.52,48,648.85,2025-01-03,2028-12-13,CLOSED,12,36,0,GUARANTOR,29407.01,Personal financing,787,15251.65,0.382,False,Bank of America,LO176
LOAN0001429,CUST001789,ACC0002725,AUTO,48897.2,20658.01,6.19,48,1152.62,2017-11-28,2021-11-07,UNDER_REVIEW,35,13,0,VEHICLE,,Auto financing,725,140567.83,0.19,False,Wells Fargo,LO740
LOAN0001430,CUST001923,ACC0003095,PERSONAL,27933.84,7741.63,8.37,48,686.81,2023-08-19,2027-07-29,APPROVED,42,6,0,GUARANTOR,32927.45,Personal financing,595,149240.19,0.361,False,Citibank,LO995
LOAN0001431,CUST000533,ACC0002349,HOME,678107.97,0.0,16.02,240,9444.39,2022-05-16,2042-01-31,CLOSED,200,40,0,GUARANTOR,1461727.13,Home financing,637,120602.97,0.179,False,Wells Fargo,LO653
LOAN0001432,CUST005922,ACC0000932,MORTGAGE,704413.23,0.0,11.86,240,7687.55,2018-11-11,2038-07-29,ACTIVE,227,13,0,VEHICLE,1104934.84,Mortgage financing,777,97144.82,0.214,False,Bank of America,LO924
LOAN0001433,CUST004452,ACC0005774,PERSONAL,15327.2,12415.21,15.45,12,1386.66,2020-03-25,2021-03-20,DEFAULTED,3,9,30,GUARANTOR,,Personal financing,600,62220.46,0.384,False,HDFC Bank,LO371
LOAN0001434,CUST001793,ACC0009924,PERSONAL,15268.61,5010.01,17.74,84,318.59,2020-02-09,2027-01-03,CLOSED,46,38,0,PROPERTY,,Personal financing,605,85409.08,0.332,False,Chase,LO625
LOAN0001435,CUST000336,ACC0006075,AUTO,19941.24,12624.95,15.4,120,326.62,2023-04-03,2033-02-09,DEFAULTED,32,88,134,NONE,28619.35,Auto financing,653,30163.11,0.334,True,Citibank,LO419
LOAN0001436,CUST006006,ACC0006538,AUTO,14731.58,2034.75,7.22,84,223.93,2018-05-23,2025-04-16,UNDER_REVIEW,81,3,0,VEHICLE,,Auto financing,614,93734.61,0.408,False,ICICI Bank,LO325
LOAN0001437,CUST004797,ACC0003946,EDUCATION,79910.81,25364.01,17.55,120,1416.8,2021-08-04,2031-06-13,DEFAULTED,55,65,57,GUARANTOR,198757.17,Education financing,625,44085.09,0.237,False,Wells Fargo,LO814
LOAN0001438,CUST008781,ACC0000462,EDUCATION,52761.18,11495.73,8.08,60,1071.83,2024-10-03,2029-09-07,DEFAULTED,55,5,96,NONE,129993.48,Education financing,789,53294.57,0.135,True,Axis Bank,LO577
LOAN0001439,CUST002220,ACC0004532,HOME,262905.65,188930.94,5.47,84,3774.22,2021-10-15,2028-09-08,DEFAULTED,28,56,106,FD,,Home financing,839,97325.15,0.334,True,Wells Fargo,LO679
LOAN0001440,CUST003084,ACC0000407,HOME,505265.06,280377.6,18.23,120,9179.08,2020-03-06,2030-01-13,UNDER_REVIEW,35,85,0,FD,1122785.34,Home financing,734,20835.9,0.301,False,HDFC Bank,LO431
LOAN0001441,CUST009238,ACC0005632,MORTGAGE,259620.33,0.0,8.29,180,2524.73,2018-06-02,2033-03-15,ACTIVE,171,9,0,VEHICLE,291207.72,Mortgage financing,597,45505.87,0.159,False,Citibank,LO795
LOAN0001442,CUST000045,ACC0009640,PERSONAL,12204.52,0.0,6.91,360,80.46,2019-11-08,2049-06-03,ACTIVE,273,87,12,FD,,Personal financing,767,140640.4,0.493,False,Wells Fargo,LO101
LOAN0001443,CUST005159,ACC0009778,PERSONAL,49043.63,15900.57,6.79,60,966.27,2019-05-07,2024-04-10,APPROVED,49,11,0,FD,109034.55,Personal financing,674,92840.98,0.599,False,Citibank,LO835
LOAN0001444,CUST003879,ACC0002348,BUSINESS,210042.29,136695.17,16.96,36,7484.4,2020-09-07,2023-08-23,REJECTED,14,22,0,VEHICLE,,Business financing,702,100839.05,0.327,False,Axis Bank,LO384
LOAN0001445,CUST002950,ACC0004791,AUTO,23889.82,12047.26,4.59,48,545.74,2022-12-05,2026-11-14,DEFAULTED,31,17,155,PROPERTY,,Auto financing,651,63029.05,0.289,True,ICICI Bank,LO991
LOAN0001446,CUST008986,ACC0001547,EDUCATION,19095.94,0.0,8.92,360,152.55,2020-03-23,2049-10-17,REJECTED,320,40,0,PROPERTY,39156.08,Education financing,801,48392.63,0.445,False,ICICI Bank,LO427
LOAN0001447,CUST009889,ACC0001708,EDUCATION,57816.2,54141.52,16.14,12,5249.54,2020-12-21,2021-12-16,CLOSED,1,11,0,NONE,,Education financing,743,26321.85,0.403,False,Axis Bank,LO995
LOAN0001448,CUST000999,ACC0005896,AUTO,26582.08,0.0,13.8,180,350.44,2024-09-14,2039-06-28,DEFAULTED,136,44,95,VEHICLE,50977.82,Auto financing,604,76166.96,0.161,True,Wells Fargo,LO435
LOAN0001449,CUST009434,ACC0005968,AUTO,51444.75,23272.51,17.71,60,1298.26,2021-12-04,2026-11-08,DEFAULTED,31,29,47,FD,98668.64,Auto financing,744,89500.27,0.52,False,Citibank,LO318
LOAN0001450,CUST004001,ACC0004854,HOME,566664.01,351493.2,10.97,48,14637.47,2024-05-02,2028-04-11,APPROVED,21,27,0,GUARANTOR,788389.23,Home financing,571,98350.76,0.524,False,Axis Bank,LO306
LOAN0001451,CUST003339,ACC0007543,EDUCATION,73712.57,71384.07,7.78,24,3326.43,2016-12-21,2018-12-11,CLOSED,1,23,0,NONE,,Education financing,536,55309.04,0.203,False,HDFC Bank,LO960
LOAN0001452,CUST003947,ACC0003329,AUTO,19191.44,7883.33,17.33,48,557.05,2025-06-04,2029-05-14,ACTIVE,29,19,0,PROPERTY,27002.28,Auto financing,716,15819.65,0.453,False,HDFC Bank,LO540
LOAN0001453,CUST002452,ACC0008912,HOME,612147.61,142027.26,11.4,60,13432.01,2023-07-31,2028-07-04,REJECTED,50,10,14,GUARANTOR,717562.83,Home financing,555,57110.67,0.335,False,Axis Bank,LO620
LOAN0001454,CUST008829,ACC0001960,MORTGAGE,169184.9,0.0,11.06,360,1618.86,2017-11-26,2047-06-22,UNDER_REVIEW,226,134,0,FD,283805.84,Mortgage financing,663,104143.37,0.441,False,Bank of America,LO191
LOAN0001455,CUST001585,ACC0005413,HOME,159743.17,0.0,10.55,180,1770.75,2018-09-15,2033-06-28,CLOSED,178,2,0,VEHICLE,,Home financing,641,88771.72,0.558,False,Citibank,LO783
LOAN0001456,CUST002068,ACC0009954,PERSONAL,8939.8,2595.28,13.21,36,302.12,2023-06-21,2026-06-05,DEFAULTED,30,6,84,FD,18170.54,Personal financing,606,56173.64,0.404,False,Chase,LO216
LOAN0001457,CUST008579,ACC0002063,MORTGAGE,423726.47,29526.02,17.13,240,6257.15,2020-01-06,2039-09-23,CLOSED,90,150,0,PROPERTY,926506.9,Mortgage financing,549,86272.26,0.582,False,ICICI Bank,LO523
LOAN0001458,CUST008512,ACC0007837,BUSINESS,150713.53,65903.77,14.12,180,2019.28,2023-08-25,2038-06-07,ACTIVE,60,120,20,GUARANTOR,,Business financing,780,82010.23,0.313,False,Axis Bank,LO664
